clip_item
A Streetcar Named Desire (1951) 30-4
A Streetcar Named Desire (1951) 30-2
Amores Perros (2000) 30-1
Amores Perros (2000) 30-3
Bonnie and Clyde (1967) 30-1
Bonnie and Clyde (1967) 30-2
Boyz N The Hood (1991) 30-2
Boyz N The Hood (1991) 30-1
Climates (2006) 30-1
Climates (2006) 30-1_2
Climates (2006) 30-2
Come and See (1985) 30-1
Come and See (1985) 30-5
Come and See (1985) 30-2
Dangerous Liaisons (1988) 30-4
Dangerous Liaisons (1988) 30-1
Gaslight (1944) 30-2
Gaslight (1944) 30-3
Gaslight (1944) 30-1
Goldfinger (1964) 30-1
Goldfinger (1964) 30-2
I Am Camera (1955) 30-1
Menace II Society (1993) 30-1
Menace II Society (1993) 30-2
Menace II Society (1993) 30-3
Niagara (1953) 30-3
Niagara (1953) 30-1
Notting Hill (1999) 30-2
Notting Hill (1999) 30-1
Sissi (1955) 30-2
Sissi (1955) 30-1
The Freshman (1925) 30-1
The Freshman (1925) 30-2
The Sound Of Music (1965) 30-2
The Sound Of Music (1965) 30-1
The Sound Of Music (1965) 30-3
Titanic (1997) 30-2
Titanic (1997) 30-1
Twin Peaks (2017) 30-1
Twin Peaks (2017) 30-2
Yesterday Once More (2023) 01
The Passion of Joan of Arc (1928) 03
The Consequences of Love (2004) 05
Climates (2006) 07
Final Destination 2 (2003) 09
Django (1966) 101
Amores Perros (2000) 103
Menace II Society (1993) 105
The Girl From Parma (1963) 109
Gentlemen Prefer Blondes (1953) 11
Sissi (1955) 111
Titanic (1997) 113
Bullitt (1968) 115
Across The Universe (2007) 117
The Good the Bad and the Ugly (1966) 119
The Double Life of Veronique (1991) 121
Big Wednesday (1978) 123
Final Destination (2000) 125
Harry Potter And The Sorcerers Stone (2001) 127
Il giovedi (1964) 129
Across the Universe (2007) 13
The Last Days Of Disco (1998) 131
The White Balloon (1995) 133
Army of Shadows (1969) 135
Bullet in the Head (1990) 137
Grease (1978) 139
Climates (2006) 141
World War Z (2013) 143
Kellys Heroes (1970) 145
Come and See (1985) 15
Blue Valentine (2010) 17
Menace II Society (1993) 19
Twin Peaks 2 (2017) 21
The Italian Job (1969) 23
Boyz N The Hood (1991) 25
The Wolf of Wall Street (2013) 27
Dangerous Liaisons (1988) 29
The Revenant (2015) 31
Kellys Heroes (1970) 33
Final Destination 3 (2006) 35
Saving Private Ryan (1998) 37
Niagara (1953) 39
The Matrix (1999) 41
Thelma and Louise (1991) 43
Come and See (1985) 45
Come and See (1985) 47
The Sound Of Music (1965) 49
The Double Life of Veronique (1991) 51
The Dark Knight (2008) 53
Blade Runner 2049 (2017) 55
Nobody Lives Forever (1946) 57
The Fast and the Furious (2001) 59
Niagara (1953) 61
Twin Peaks 2 (2017) 63
Twin Peaks 2 (2017) 65
Skate Kitchen (2018) 67
Notting Hill (1999) 69
Fun in Acapulco (1963) 71
City of God (2002) 73
A Streetcar Named Desire (1951) 75
Incendies (2010) 77
Menace II Society (1993) 79
Leila (1997) 81
Bonnie and Clyde (1967) 83
The Last Laugh (1924) 85
The Deer Hunter (1978) 87
Il Sorpasso (1962) 89
Gypsies Are Found Near Heaven (1976) 91
Come and See (1985) 93
The Shining (1980) 95
Children of Men (2006) 97
The Big Heat (1953) 99
Yesterday Once More (2023) 02
The Passion of Joan of Arc (1928) 04
The Consequences of Love (2004) 06
Climates (2006) 08
Final Destination 2 (2003) 10
The Big Heat (1953) 100
Django (1966) 102
Amores Perros (2000) 104
Menace II Society (1993) 106
The Girl From Parma (1963) 110
Sissi (1955) 112
Titanic (1997) 114
Bullitt (1968) 116
Across The Universe (2007) 118
Gentlemen Prefer Blondes (1953) 12
The Good the Bad and the Ugly (1966) 120
The Double Life of Veronique (1991) 122
Big Wednesday (1978) 124
Final Destination (2000) 126
Harry Potter And The Sorcerers Stone (2001) 128
Il giovedi (1964) 130
The Last Days Of Disco (1998) 132
The White Balloon (1995) 134
Army of Shadows (1969) 136
Bullet in the Head (1990) 138
Across the Universe (2007) 14
Grease (1978) 140
Climates (2006) 142
World War Z (2013) 144
Kellys Heroes (1970) 146
Come and See (1985) 16
Blue Valentine (2010) 18
Menace II Society (1993) 20
Twin Peaks 2 (2017) 22
The Italian Job (1969) 24
Boyz N The Hood (1991) 26
The Wolf of Wall Street (2013) 28
Dangerous Liaisons (1988) 30
The Revenant (2015) 32
Kellys Heroes (1970) 34
Final Destination 3 (2006) 36
Saving Private Ryan (1998) 38
Niagara (1953) 40
The Matrix (1999) 42
Thelma and Louise (1991) 44
Come and See (1985) 46
Come and See (1985) 48
The Sound Of Music (1965) 50
The Double Life of Veronique (1991) 52
The Dark Knight (2008) 54
Blade Runner 2049 (2017) 56
Nobody Lives Forever (1946) 58
The Fast and the Furious (2001) 60
Niagara (1953) 62
Twin Peaks 2 (2017) 64
Twin Peaks 2 (2017) 66
Skate Kitchen (2018) 68
Notting Hill (1999) 70
Fun in Acapulco (1963) 72
City of God (2002) 74
A Streetcar Named Desire (1951) 76
Incendies (2010) 78
Menace II Society (1993) 80
Leila (1997) 82
Bonnie and Clyde (1967) 84
The Last Laugh (1924) 86
The Deer Hunter (1978) 88
Il Sorpasso (1962) 90
Gypsies Are Found Near Heaven (1976) 92
Come and See (1985) 94
The Shining (1980) 96
Children of Men (2006) 98
